timestamp,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortRcvPkts_sum,PortXmitData_sum,PortRcvData_sum,PortXmitPkts_sum,PortXmitWait_sum
79,3027868950,794284,2963770,39659,849119325,2940190796,771364,2877929,38456,871640303,3056913576,797826,2992157,39495,786347749,3013425574,788269,2949657,38870,841238147,156480,12038398896,3151743,11783513,3348345524
80,2958784274,775273,2896083,38835,800749752,2894240854,756669,2832887,38103,921739047,3098927037,810056,3033249,40293,884255272,3178631992,826669,3111241,41283,850808064,158514,12130584157,3168667,11873460,3457552135
81,3258341624,851314,3189318,42435,856983453,2968200938,770203,2905326,37762,823489152,3274889176,849039,3205510,41806,853160628,3219771905,840483,3151560,41655,816649354,163658,12721203643,3311039,12451714,3350282587
82,3133747437,814088,3067362,40187,797796382,3174523855,829608,3107247,41448,894763045,3251394651,844674,3182513,41742,858996539,3165143962,826668,3098101,41037,883802832,164414,12724809905,3315038,12455223,3435358798
83,3146435778,829408,3079804,41644,909932273,3006782812,781531,2943097,38644,901350814,3234214606,846555,3165675,42156,961538928,3132157748,818875,3065798,40974,905673426,163418,12519590944,3276369,12254374,3678495441
84,3086479090,807834,3021099,40456,953054888,3052980399,802429,2988270,40330,990170063,3217181160,836159,3149024,41431,974142203,3222060678,842672,3153768,41942,905227685,164159,12578701327,3289094,12312161,3822594839
85,3102901617,803756,3037127,39674,813555241,3038083176,789983,2973704,39244,825988500,3275040309,850223,3205653,41916,803531897,3105086321,806780,3039296,40000,722938929,160834,12521111423,3250742,12255780,3166014567
86,3071276925,802966,3006264,39776,847034741,2873537892,752923,2812691,37464,824971808,3072497658,800525,3007423,39651,783204837,3062993130,799496,2998151,39571,839496323,156462,12080305605,3155910,11824529,3294707709
87,3011488054,784389,2947699,38743,835103961,2829731307,736910,2769781,36583,853762625,3162382554,820131,3095368,40498,782568482,3092797471,806928,3027281,39839,766418597,155663,12096399386,3148358,11840129,3237853665
88,3146519194,816157,3079861,40274,860581091,3061298860,806678,2996474,40577,936604100,3316965908,865147,3246718,42895,867055387,3307799841,857630,3237694,42523,859450574,166269,12832583803,3345612,12560747,3523691152
89,3055819245,797341,2991107,39183,781547497,3011386782,782430,2947587,38818,773138845,3371636635,879437,3300185,43456,818844026,3243675112,844199,3174973,41678,823525807,163135,12682517774,3303407,12413852,3197056175
90,3029645115,791788,2965463,39479,896196940,2953351144,771907,2890791,38280,910310228,3152317950,823120,3085561,40973,947066411,3197903250,834809,3130126,41529,923426045,160261,12333217459,3221624,12071941,3676999624
91,3188129755,834569,3120611,41658,905575595,3020829397,787126,2956807,38914,908558007,3170244892,829461,3103092,40923,867728175,3247774467,849358,3178966,42260,852239529,163755,12626978511,3300514,12359476,3534101306
92,3043412645,792822,2978913,39423,829701550,2748272440,718032,2690082,35650,769644895,2852780390,740410,2792343,36589,799497603,3089449307,803641,3023952,39711,813917235,151373,11733914782,3054905,11485290,3212761283
93,3181908713,833731,3114527,41063,783963341,2984865673,784432,2921601,39202,889629707,3184995174,834716,3117487,41623,854923716,3187232299,834928,3119719,41489,839883086,163377,12539001859,3287807,12273334,3368399850
94,3131140409,818898,3064854,40649,887223356,3107727376,811237,3041916,40208,866151305,3182118919,827465,3114714,40920,829302839,3293524146,856389,3223758,42193,873539260,163970,12714510850,3313989,12445242,3456216760
95,3016090623,787002,2952181,38713,731568586,2932161887,764542,2870009,37986,843255653,2999234065,780199,2935699,38364,832754324,3083108722,802394,3017822,39475,774122519,154538,12030595297,3134137,11775711,3181701082
96,3218684582,842584,3150489,42125,897116820,3008186360,784337,2944466,38873,846795111,3164653007,827598,3097616,41331,880842006,3193248251,831678,3125586,41195,888753641,163524,12584772200,3286197,12318157,3513507578
97,3105493646,810482,3039739,40034,798670952,2896173349,755050,2834816,37403,898867508,3179688877,831565,3112298,41683,907070441,3117275242,816368,3051238,40675,848292625,159795,12298631114,3213465,12038091,3452901526
98,3235560111,842743,3166983,41956,837918655,3038948689,794662,2974561,39523,845667488,3117176950,815886,3051156,40382,818035136,3206231712,832441,3138262,41138,868616882,162999,12597917462,3285732,12330962,3370238161
99,3157743793,821888,3090853,40617,825738945,2902027706,761007,2840563,38192,884194314,3191214139,828897,3123624,40831,936708539,3364384496,875572,3293146,43133,864473313,162773,12615370134,3287364,12348186,3511115111
100,3409288650,888158,3337038,44017,785654259,2762950365,721375,2704368,35900,918060293,2806923866,735637,2747447,36726,840342991,3364060801,868643,3292745,42710,788712989,159353,12343223682,3213813,12081598,3332770532
101,3400502467,888046,3328476,43879,902173953,2666360996,696933,2609891,34777,960335550,2629863123,688165,2574108,34572,902880502,3494323392,911579,3420295,45159,855065600,158387,12191049978,3184723,11932770,3620455605
102,3435317244,895040,3362548,44377,766324250,2702127719,711206,2644890,35535,858052752,2764748607,727035,2706220,36330,854631849,3404192202,885335,3332112,43651,819646494,159893,12306385772,3218616,12045770,3298655345
103,3235577755,845320,3167027,41963,753491759,2682575129,697875,2625747,34612,805969693,2848600251,743392,2788250,37085,883928210,3465008214,900554,3391633,44222,721672697,157882,12231761349,3187141,11972657,3165062359
104,2698193836,703694,2641030,34856,792222228,2662013393,691306,2605626,34003,837075288,2778699648,725226,2719838,35910,818106353,2942591326,764867,2880246,37748,712243918,142517,11081498203,2885093,10846740,3159647787
105,2545779596,665482,2491900,32760,723633847,2913417622,760415,2851727,37692,802626868,2900600092,757623,2839153,37822,704848247,2703246538,705949,2645995,34941,703638638,143215,11063043848,2889469,10828775,2934747600
